"Municipio","ibge","latitude","longitude","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1974 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1975 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1976 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1977 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1978 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1979 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1980 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1981 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1982 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1983 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1984 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1985 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1986 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1987 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1988 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1989 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1990 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1991 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1992 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1993 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1994 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1995 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1996 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1997 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1998 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1999 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2000 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2001 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2002 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2003 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2004 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2005 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2006 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2007 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2008 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2009 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2010 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2011 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2012 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2013 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2014 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2015 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2016 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2017 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2018 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2019 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2020 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2021 (R$ mil)"
"Cachoeirinha","4303103","-29.947199999990","-51.101599999990","219","63","384","306","608","183","413","3.990","11.232","33.950","513.800","946","545","455","3.600","28","1.419","13.500","74.224","1.690","18","18","12","12","19","19","-","-","-","-","-","-","-","-","-","-","-","-","-","-","...","...","...","...","...","...","...","..."
"Cacique Doble","4303202","-27.766999999990","-51.659700000000","80","240","375","642","138","34","767","3.560","5.814","9.935","23.280","95","420","726","8.726","52","2.764","6.402","214.108","2.700","20","21","8","44","44","50","50","5","5","7","7","8","4","3","7","7","0","-","5","-","-","-","-","-","-","-","-","-"
"Caibat�","4303301","-28.290500000000","-54.645400000000","702","1.500","867","1.346","1.598","2.520","7.557","1.392","14.338","39.707","105.414","333","728","3.176","13.376","199","4.710","49.860","550.239","24.558","167","203","250","331","303","215","223","359","590","635","204","101","133","118","149","162","-","-","-","198","165","135","120","176","176","116","260","510"
"Cai�ara","4303400","-27.279100000000","-53.425699999990","34","464","150","736","-","-","480","3.080","3.600","10.980","16.940","160","334","522","2.480","68","7.839","0","227.286","9.285","37","78","-","95","115","105","153","125","123","405","236","250","250","250","218","8","4","6","8","9","10","9","11","29","9","12","13","26"
"Camaqu�","4303509","-30.848900000000","-51.804299999990","85.800","156.243","158.756","204.050","326.368","458.628","1.040.019","3.132.625","5.838.974","13.453.504","45.504.000","161.435","378.098","714.502","5.732.086","60.120","1.126.650","13.243.949","92.191.702","2.360.003","20.553","25.316","28.709","27.427","32.126","40.370","37.498","43.763","66.949","104.292","118.755","69.967","56.705","72.558","110.742","123.416","102.576","90.553","133.370","153.329","169.947","182.324","216.048","225.999","174.315","183.221","247.243","523.447"
"Camargo","4303558","-28.588000000000","-52.200299999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","16","520","0","21.699","453","5","5","5","4","6","5","1","2","3","6","4","-","3","4","6","4","1","-","-","-","-","-","-","-","-","-","-","-"
"Cambar� do Sul","4303608","-29.047400000000","-50.146500000000","15","41","48","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Campestre da Serra","4303673","-28.792600000000","-51.094099999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","210","3","3","-","7","7","8","8","5","3","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Campina das Miss�es","4303707","-27.988800000000","-54.841700000000","135","375","360","428","340","224","1.920","975","990","3.500","11.160","52","62","240","990","20","400","1.916","28.875","248","9","1","1","1","2","2","2","3","4","10","2","-","2","3","-","-","2","2","1","3","3","3","3","3","1","-","-","-"
"Campinas do Sul","4303806","-27.717400000000","-52.624800000000","411","1.382","1.656","1.904","1.440","-","4.620","2.431","3.881","18.885","43.068","152","486","786","1.176","13","694","0","31.030","709","6","10","3","4","13","7","7","2","2","2","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Campo Bom","4303905","-29.674700000000","-51.060600000000","105","134","142","168","146","136","270","468","1.820","2.254","3.893","30","34","8","2.040","51","2.903","20.593","564.670","3.903","24","47","3","-","-","180","194","139","69","-","875","578","420","360","630","576","499","101","118","183","218","224","-","-","-","-","-","-"
"Campo Novo","4304002","-27.679200000000","-53.805199999990","180","612","648","770","583","126","11.070","8.775","8.815","14.850","75.480","190","249","1.919","7.859","113","3.145","7.831","200.970","3.152","44","54","24","11","13","13","13","24","24","34","53","23","9","2","2","-","-","3","12","10","5","-","-","-","-","-","-","-"
"Campos Borges","4304101","-28.887100000000","-53.000799999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","16","571","532","987.959","579","4","35","8","8","36","29","7","12","16","30","4","-","7","7","7","5","6","2","3","-","-","-","-","-","-","-","-","-"
"Candel�ria","4304200","-29.668399999990","-52.789499999990","16.206","23.675","27.855","44.030","72.528","86.122","217.000","440.563","988.049","2.179.950","8.250.600","31.016","25.328","175.747","3.319.532","20.833","450.004","4.446.750","23.802.100","654.270","4.146","5.024","4.731","6.618","8.650","10.202","7.848","10.142","15.034","20.501","23.794","12.497","16.698","18.501","25.976","28.739","25.053","24.781","24.884","36.213","35.939","43.435","42.912","43.897","47.502","39.297","36.462","91.336"
"C�ndido God�i","4304309","-27.951499999990","-54.751700000000","70","195","180","214","170","175","1.440","2.550","1.485","5.289","22.320","106","124","245","798","16","334","710","28.875","479","16","10","2","12","18","2","2","4","4","14","3","1","5","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Candiota","4304358","-31.551500000000","-53.677300000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","63.972","350","434","874","762","1.571","2.294","1.809","1.660","2.041","2.878","4.048","2.922","1.848","1.903","2.468","3.405","4.039","3.433","2.853","3.690","3.650","3.246","3.214","5.153","2.069","6.633","6.997","2.845"
"Canela","4304408","-29.356000000000","-50.811900000000","94","145","147","215","281","345","707","480","1.050","1.050","4.530","15","21","31","131","3","102","480","4.620","99","4","4","-","4","1","1","2","2","2","2","3","-","2","3","2","3","-","1","-","-","-","-","-","-","-","-","-","-"
"Cangu�u","4304507","-31.396000000000","-52.678199999990","1.624","5.808","6.098","11.016","21.760","3.005","77.350","70.104","122.682","312.012","792.000","3.150","8.190","13.388","273.000","2.792","30.436","165.690","1.771.568","55.153","1.061","1.300","2.114","1.731","2.436","1.671","1.842","1.259","1.988","3.480","4.052","1.500","1.438","1.842","2.622","4.093","3.038","2.692","3.716","4.002","3.989","6.552","4.447","5.494","4.428","4.650","2.766","11.151"
"Canoas","4304606","-29.912800000000","-51.185699999990","791","2.953","11.002","15.163","24.320","11.383","63.640","63.105","200.637","547.997","2.380.362","7.553","9.607","30.240","122.892","2.310","78.302","887.250","2.529.821","49.579","468","468","470","473","600","602","606","606","606","606","602","625","1.025","1.344","2.880","2.496","2.880","2.074","1.566","1.624","980","980","910","2.184","3.024","3.528","4.620","7.140"
"Canudos do Vale","4304614","-29.318700000000","-52.234499999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","3","4","19","8","-","2","2","2","3","3","3","1","2","-","-","-","-","-","-","-","-"
"Cap�o Bonito do Sul","4304622","-29.764199999990","-50.028199999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","5","5","1","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Cap�o da Canoa","4304630","-29.639700000000","-49.959899999990","...","...","...","...","...","...","...","...","...","14.112","38.720","400","1.040","3.960","30.324","274","12.320","77.063","442.750","12.248","106","123","276","265","347","201","171","195","258","455","1.355","990","849","872","897","1.092","859","360","-","-","-","22","248","257","648","741","-","-"
"Cap�o do Cip�","4304655","-28.904000000000","-54.700000000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","-","179","130","126","91","47","47","52","51","16","-","-","-","-","-","-","-","-","-","-","-"
"Cap�o do Le�o","4304663","-31.756499999990","-52.488900000000","...","...","...","...","...","...","...","...","...","1.595.338","4.907.750","20.711","51.041","138.215","912.083","5.026","262.500","2.580.000","31.612.800","412.800","8.669","8.360","7.992","10.032","10.770","11.060","6.859","13.282","12.775","25.670","30.838","15.700","14.274","23.548","32.755","32.339","29.369","25.049","28.601","34.015","43.528","45.133","38.927","53.534","39.745","45.512","51.023","116.910"
"Capela de Santana","4304689","-29.696100000000","-51.328000000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","1.262","90.496","492.660","4.425.750","101.420","1.008","963","504","1.865","2.300","1.059","1.001","922","1.316","1.759","2.411","1.297","1.616","2.094","2.307","3.420","3.657","3.325","6.718","7.020","7.640","7.605","8.190","10.800","9.360","9.620","12.848","20.683"
"Capit�o","4304697","-29.267399999990","-51.985300000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","78","3","4","2","3","2","2","2","2","0","2","1","-","1","1","1","1","1","1","1","1","-","-","-","-","-","-","-","-"
"Capivari do Sul","4304671","-30.138200000000","-50.515099999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","6.324","10.407","14.952","12.968","18.143","25.285","39.652","47.396","35.152","31.203","35.787","55.118","46.297","54.379","38.284","54.816","69.969","71.491","74.972","94.632","93.779","72.980","57.208","78.094","156.898"
"Cara�","4304713","-29.786899999990","-50.431600000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","507","143","147","118","140","167","294","545","378","316","398","571","571","425","643","788","922","1.130","1.697","1.871","1.828","1.581","1.659","2.178","3.704"
"Carazinho","4304705","-28.295800000000","-52.793300000000","138","327","416","428","350","720","1.985","8.208","23.370","33.102","200.000","887","1.267","4.360","6.846","254","8.497","355","956.579","8.023","52","126","43","103","115","57","40","21","5","6","4","1","5","5","6","4","-","-","-","-","-","-","-","-","-","-","-","-"
"Carlos Barbosa","4304804","-29.296900000000","-51.502899999990","36","108","315","446","344","600","1.728","3.888","5.724","6.684","25.480","54","52","151","729","14","449","400","39.715","742","7","13","9","3","5","4","3","3","4","6","6","1","4","3","1","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Carlos Gomes","4304853","-27.716699999990","-51.912100000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","919","7","12","7","3","2","2","3","3","2","6","4","-","3","3","5","4","1","5","5","4","2","2","2","2","2","8","6","8"
"Casca","4304903","-28.560500000000","-51.981499999990","391","751","630","302","144","120","2.511","7.830","4.965","28.344","122.764","320","576","1.737","12.779","199","6.196","872","448.560","6.691","27","27","6","5","8","7","7","8","13","33","6","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Caseiros","4304952","-28.258199999990","-51.686100000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","57","2.395","3.673","185.561","3.120","22","23","12","10","10","12","12","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Catu�pe","4305009","-28.255400000000","-54.013199999990","158","750","651","815","1.000","1.038","6.532","5.118","12.858","23.056","83.220","269","405","481","1.035","42","1.175","7.756","320.711","8.985","175","56","73","320","178","168","143","374","491","145","76","5","5","7","5","4","4","3","-","-","-","-","-","-","-","-","-","-"
"Caxias do Sul","4305108","-29.162900000000","-51.179200000000","480","756","1.071","680","1.596","2.976","4.320","3.750","3.010","4.150","11.700","43","225","609","4.782","36","1.920","3.378","34.650","515","5","4","1","6","6","6","4","1","1","2","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Centen�rio","4305116","-27.761600000000","-51.998399999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","2.285","18","30","13","10","6","11","11","11","7","19","3","-","2","2","7","5","3","5","4","5","5","14","9","11","6","36","27","36"
"Cerrito","4305124","-31.841899999990","-52.800400000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","549","550","1.110","869","1.317","1.196","2.747","3.006","655","1.535","2.002","2.081","4.011","4.733","3.631","3.968","3.856","3.280","3.903","873","1.630","1.250","1.073","819","3.254"
"Cerro Branco","4305132","-29.657000000000","-52.940600000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","2.487","66.212","282.890","2.957.040","139.139","1.173","1.157","1.260","1.206","1.697","1.807","1.472","2.139","2.126","2.747","3.016","1.067","2.117","2.288","3.078","3.454","3.139","2.750","2.855","3.822","4.177","4.780","4.900","5.250","6.038","5.359","4.594","12.680"
"Cerro Grande","4305157","-27.610600000000","-53.167200000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","51","2.216","8.558","164.969","2.460","45","56","4","35","45","47","50","50","50","71","46","19","21","21","21","21","-","-","-","-","-","-","-","-","-","-","-","-"
"Cerro Grande do Sul","4305173","-30.590499999990","-51.741799999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","846","33.426","229.288","1.942.997","53.267","622","593","686","825","767","1.028","922","1.067","1.503","2.004","2.302","1.649","1.409","1.633","3.012","2.709","2.361","1.878","2.575","2.972","3.299","3.431","3.839","4.012","3.705","2.580","3.754","8.907"
"Cerro Largo","4305207","-28.146200000000","-54.742800000000","60","208","237","308","357","252","1.920","2.975","2.178","6.456","26.288","146","354","1.022","3.240","71","2.001","5.108","144.375","484","5","5","3","-","3","4","4","3","0","-","0","2","4","5","4","3","-","-","-","-","-","-","-","-","-","-","-","-"
"Chapada","4305306","-28.055900000000","-53.066499999990","153","540","675","787","840","180","4.200","6.129","9.900","37.950","88.200","224","535","1.627","9.283","122","4.144","2.017","364.755","6.832","105","131","11","110","228","120","126","126","101","144","228","78","104","102","96","96","23","8","5","5","6","6","4","3","4","4","3","-"
"Charqueadas","4305355","-29.962500000000","-51.628900000000","...","...","...","...","...","...","...","...","...","35.585","226.180","742","3.399","5.697","33.000","618","11.550","105.600","532.800","10.080","231","171","2.920","2.860","4.355","5.193","6.281","3.762","-","12.096","10.944","7.920","5.456","6.870","8.994","16.733","14.300","12.813","15.982","21.118","21.547","24.357","27.730","30.299","28.272","23.971","30.525","47.087"
"Charrua","4305371","-27.949300000000","-52.015000000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","716","5","7","7","5","4","4","4","4","4","5","5","-","7","9","3","6","6","7","3","4","3","-","-","-","-","-","-","-"
"Chiapetta","4305405","-27.922999999990","-53.941899999990","44","100","96","204","292","105","860","1.509","1.967","22.770","183.740","472","1.256","5.781","15.819","37","3.109","7.048","120.631","8.768","240","248","257","287","268","280","223","392","173","145","137","31","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Chu�","4305439","-33.686599999990","-53.459400000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","3.766","3.981","3.594","2.994","5.976","3.596","8.208","9.657","7.168","5.743","11.260","16.566","13.660","12.880","11.154","11.297","14.245","21.573","21.465","28.060","25.905","19.046","23.807","26.157","47.287"
"Chuvisca","4305447","-30.750399999990","-51.973700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","11","12","-","3","4","6","-","-","-","-","-","-","-","-","-","6","7","9","9","28","32","24","14","27","57"
"Cidreira","4305454","-30.160399999990","-50.233800000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","1.399","52.974","416.724","3.092.677","135.644","1.160","1.211","1.190","510","1.013","688","597","746","1.121","1.490","1.632","1.004","2.054","2.446","3.982","4.038","2.767","3.214","4.469","4.750","5.199","5.359","5.449","4.135","7.546","8.124","8.429","21.594"
"Cir�aco","4305504","-28.341899999990","-51.874099999990","149","758","270","826","467","240","2.827","2.955","6.926","14.364","85.514","193","264","1.277","6.115","115","3.308","4.307","195.291","3.171","35","38","9","20","20","9","8","24","37","59","27","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Colinas","4305587","-29.381499999990","-51.852600000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","56","1","1","-","1","1","1","1","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Colorado","4305603","-28.525800000000","-52.992800000000","205","413","544","642","252","192","810","1.665","3.198","5.005","95.100","152","65","212","576","25","599","0","99.229","878","9","18","2","5","14","6","5","6","6","9","9","3","5","4","5","3","1","1","-","-","-","-","-","-","-","-","-","-"
"Condor","4305702","-28.207500000000","-53.490499999990","516","1.512","1.512","1.554","300","1.224","3.775","3.241","5.650","13.263","82.634","281","1.004","523","6.519","49","1.768","0","51.996","2.165","6","28","27","17","36","29","26","27","30","26","12","3","6","6","8","2","0","1","3","-","-","-","-","-","-","-","-","-"
"Constantina","4305801","-27.731999999990","-52.993800000000","612","570","1.612","972","372","20","2.310","3.974","2.368","18.888","41.724","66","76","50","1.480","34","1.575","883","162.695","1.521","16","31","12","14","6","11","8","8","6","8","6","2","5","5","6","3","3","-","-","-","-","-","-","-","-","-","-","-"
"Coqueiro Baixo","4305835","-29.172200000000","-52.098900000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","2","3","14","6","-","4","4","4","3","3","3","2","3","-","-","-","-","-","-","-","-"
"Coqueiros do Sul","4305850","-28.119399999990","-52.784199999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","1.812","22","42","24","13","14","11","7","3","3","4","5","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Coronel Barros","4305871","-28.392199999990","-54.068600000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","866","7","6","2","4","4","5","2","5","6","10","10","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Coronel Bicaco","4305900","-27.719700000000","-53.702199999990","323","648","810","875","200","-","3.080","4.050","4.950","20.809","60.258","294","963","2.345","14.662","408","7.548","40.710","573.470","7.398","127","158","43","148","308","312","328","328","328","468","741","317","468","896","900","900","134","31","9","-","-","-","-","-","-","-","-","-"
"Coronel Pilar","4305934","-29.268400000000","-51.687899999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","0","0","1","0","-","1","1","1","1","1","1","-","-","-","-","-","-","-","-","-","-"
"Cotipor�","4305959","-28.989100000000","-51.697099999990","...","...","...","...","...","...","...","...","...","9.630","7.296","27","41","94","688","10","243","560","16.016","372","4","4","3","2","3","2","2","2","1","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Coxilha","4305975","-28.128000000000","-52.302300000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","3.345","25","27","23","20","4","4","3","5","6","6","4","-","2","2","4","4","1","1","-","-","-","-","-","-","-","-","-","-"
"Crissiumal","4306007","-27.499900000000","-54.099400000000","135","459","486","642","439","189","6.642","9.909","7.544","2.700","83.300","203","268","460","2.907","67","1.805","6.086","117.810","426","7","7","8","2","7","7","8","14","14","30","27","-","2","3","3","2","0","2","-","-","-","-","-","-","-","-","-","-"
"Cristal","4306056","-31.004600000000","-52.043599999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","7.281","130.123","1.405.358","11.208.247","334.160","4.830","5.830","5.347","4.155","5.360","7.225","5.565","7.492","10.510","15.760","18.453","12.536","10.938","11.920","18.738","28.564","23.575","26.130","25.047","29.168","28.010","32.258","27.165","30.000","25.010","32.680","42.196","76.457"
"Cristal do Sul","4306072","-27.452000000000","-53.242199999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","4","5","4","7","24","24","77","45","45","45","49","42","24","9","10","5","2","-","-","-","2","-","-","-","3"
"Cruz Alta","4306106","-28.645000000000","-53.604799999990","409","270","1.296","1.166","2.160","1.800","4.320","10.089","4.200","36.000","140.980","590","943","2.741","7.364","337","16.039","43.137","687.084","5.253","130","263","47","146","47","161","110","89","164","57","438","99","72","83","81","23","-","-","-","-","-","-","-","-","-","-","-","-"
"Cruzaltense","4306130","-27.664400000000","-52.649200000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","2","1","2","1","-","2","2","4","2","3","3","3","3","3","4","-","-","-","-","-","-"
"Cruzeiro do Sul","4306205","-29.514800000000","-51.992800000000","1.128","740","1.439","760","680","3.149","5.256","13.253","22.290","111.562","219.719","1.185","3.945","6.142","69.458","621","18.923","129.657","959.577","7.821","244","555","433","465","432","589","576","700","926","5.429","2.671","680","1.766","2.438","2.583","2.430","2.569","1.726","2.254","3.390","3.619","4.098","4.545","3.805","3.568","3.709","5.276","8.936"
"David Canabarro","4306304","-28.384899999990","-51.848199999990","310","311","244","259","180","144","2.874","2.295","4.844","15.193","61.226","163","233","476","588","60","1.517","0","69.437","815","9","10","5","2","12","3","2","2","4","8","8","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Derrubadas","4306320","-27.264199999990","-53.864500000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","373","6","8","4","9","7","7","7","8","8","16","5","2","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Dezesseis de Novembro","4306353","-28.219000000000","-55.061700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","345","5.542","51.411","198.086","5.291","48","42","122","53","80","88","91","2","4","5","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Dilermando de Aguiar","4306379","-29.705400000000","-54.212200000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","3.633","3.709","5.691","5.539","6.952","4.513","4.874","8.013","3.166","4.579","5.082","11.954","12.301","9.374","9.431","11.276","14.498","13.247","12.425","12.832","12.912","15.026","13.435","21.080","37.110"
"Dois Irm�os","4306403","-29.583600000000","-51.089799999990","375","435","476","600","648","125","4.125","17.004","36.750","56.204","94.400","595","503","1.645","7.371","72","2.231","10.353","146.814","266","3","4","1","2","1","2","1","1","1","2","1","-","0","0","1","1","0","0","1","1","1","1","1","1","1","-","-","-"
"Dois Irm�os das Miss�es","4306429","-27.662099999990","-53.530400000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","2.301","23","26","15","19","63","48","50","50","20","29","46","22","28","27","28","28","1","-","-","-","-","-","-","-","-","-","-","-"
"Dois Lajeados","4306452","-28.983000000000","-51.839599999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","39","1.918","0","78.540","615","2","10","8","6","6","10","11","10","7","14","4","5","7","7","3","-","-","-","-","-","-","-","-","3","-","-","-","-"
"Dom Feliciano","4306502","-30.700399999990","-52.102600000000","264","29","810","1.050","3.231","3.507","8.693","20.796","36.758","66.792","252.796","944","1.190","3.021","21.493","134","7.373","67.408","392.418","9.245","143","131","58","120","147","186","163","210","286","476","324","194","149","101","159","275","160","120","170","197","202","213","253","148","136","114","171","282"
"Dom Pedrito","4306601","-30.975600000000","-54.669400000000","59.360","154.065","159.159","113.400","319.413","271.597","540.600","1.784.183","5.238.000","7.073.760","31.950.000","136.750","237.913","597.168","3.475.550","29.452","362.485","12.240.000","163.929.150","2.978.539","29.901","37.364","43.512","40.800","56.117","79.565","51.204","91.662","114.573","147.369","197.342","132.468","126.274","82.717","194.415","201.391","161.611","167.540","145.000","201.608","231.277","303.901","273.890","310.140","254.832","242.278","325.658","427.154"
"Dom Pedro de Alc�ntara","4306551","-29.363900000000","-49.853000000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","45","52","65","225","256","655","1.156","934","686","343","589","941","878","908","640","936","501","239","238","269","437","372","504","646","1.127"
"Dona Francisca","4306700","-29.619499999990","-53.361699999990","1.837","3.349","3.618","5.864","9.152","10.808","37.240","93.365","279.840","426.083","1.518.000","7.407","20.881","52.826","398.206","4.805","115.961","913.691","5.755.750","100.573","2.649","2.510","3.219","3.656","3.862","4.757","4.021","4.623","6.363","8.584","10.410","5.887","6.188","7.155","10.446","10.525","7.223","8.346","12.318","13.994","13.751","13.505","13.099","17.210","15.319","16.638","22.404","36.626"
