"Municipio","ibge","latitude","longitude","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1974 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1975 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1976 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1977 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1978 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1979 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1980 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1981 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1982 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1983 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1984 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1985 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1986 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1987 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1988 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1989 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1990 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1991 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1992 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1993 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1994 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1995 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1996 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1997 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1998 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1999 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2000 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2001 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2002 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2003 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2004 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2005 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2006 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2007 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2008 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2009 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2010 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2011 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2012 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2013 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2014 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2015 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2016 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2017 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2018 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2019 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2020 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2021 (kg/ha)"
"Constantina","4305801","-27.731999999990","-52.993800000000","1.200","1.491","1.955","1.000","600","200","2.000","1.200","304","1.100","1.200","600","120","100","800","1.300","1.200","115","1.800","1.500","1.500","1.500","1.000","1.500","1.500","1.500","1.500","1.800","1.200","1.200","1.200","400","1.800","1.800","1.800","1.250","1.500","-","-","-","-","-","-","-","-","-","-","-"
"Coqueiro Baixo","4305835","-29.172200000000","-52.098900000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.800","1.800","1.800","1.800","-","1.800","1.800","1.800","1.667","1.667","1.667","1.000","1.667","-","-","-","-","-","-","-","-"
"Coqueiros do Sul","4305850","-28.119399999990","-52.784199999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.101","2.100","2.100","1.121","1.675","1.675","1.680","1.000","2.000","2.000","2.000","2.000","600","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Coronel Barros","4305871","-28.392199999990","-54.068600000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.000","2.000","2.000","2.000","2.000","2.000","2.000","1.000","2.000","1.500","1.800","1.800","1.000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Coronel Bicaco","4305900","-27.719700000000","-53.702199999990","896","2.160","1.800","1.800","333","-","2.000","1.052","611","1.307","1.391","764","1.227","1.113","1.026","2.333","1.750","1.008","4.500","3.250","3.000","3.000","1.300","3.000","3.000","2.889","2.889","2.889","2.889","2.889","2.889","2.067","2.889","4.286","4.286","4.286","3.700","6.000","3.600","-","-","-","-","-","-","-","-","-"
"Coronel Pilar","4305934","-29.268400000000","-51.687899999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","500","500","500","-","-","1.000","1.000","1.000","1.000","1.000","1.000","-","-","-","-","-","-","-","-","-","-"
"Cotipor�","4305959","-28.989100000000","-51.697099999990","-","-","-","-","-","-","-","-","-","1.000","2.000","2.000","789","2.000","1.143","2.143","1.786","500","2.000","1.786","1.750","1.750","1.333","1.333","1.333","1.333","1.333","1.333","1.333","1.333","1.000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Coxilha","4305975","-28.128000000000","-52.302300000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.838","1.838","1.838","1.354","2.500","1.800","1.800","1.800","1.800","1.800","2.200","1.600","250","2.000","2.000","2.000","2.000","2.000","2.000","-","-","-","-","-","-","-","-","-","-"
"Crissiumal","4306007","-27.499900000000","-54.099400000000","900","1.800","2.077","2.000","813","100","1.800","1.799","902","1.200","1.700","1.300","900","500","600","1.800","1.800","800","1.800","1.600","1.600","1.600","1.000","308","1.308","1.308","1.308","1.308","1.308","1.308","1.308","-","1.600","2.000","2.000","1.000","2.000","2.000","-","-","-","-","-","-","-","-","-","-"
"Cristal","4306056","-31.004600000000","-52.043599999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","5.145","3.498","5.500","5.092","5.392","4.792","5.389","4.720","4.309","3.889","5.168","4.441","4.714","5.237","5.236","6.233","5.841","5.846","5.996","6.497","6.994","5.996","8.957","7.478","8.203","7.500","8.178","6.600","7.388","7.000","7.600","7.125","8.413"
"Cristal do Sul","4306072","-27.452000000000","-53.242199999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","950","950","950","950","4.350","4.350","4.350","4.350","4.350","4.350","4.350","4.350","2.150","1.778","5.000","3.000","3.000","-","-","-","2.000","-","-","-","2.000"
"Cruz Alta","4306106","-28.645000000000","-53.604799999990","900","900","2.400","2.400","2.400","2.000","2.400","1.482","300","900","1.333","1.235","779","1.389","667","1.508","1.577","712","2.615","1.837","1.837","1.837","1.257","2.600","1.500","3.686","2.036","2.556","3.154","1.800","3.967","4.000","2.513","2.513","3.383","1.800","-","-","-","-","-","-","-","-","-","-","-","-"
"Cruzaltense","4306130","-27.664400000000","-52.649200000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.000","1.500","1.500","1.000","-","1.667","1.667","1.667","1.333","1.667","1.667","1.667","1.667","1.667","1.667","-","-","-","-","-","-"
"Cruzeiro do Sul","4306205","-29.514800000000","-51.992800000000","2.400","3.254","2.441","2.000","2.000","2.689","2.857","2.537","2.286","2.821","3.143","3.443","3.533","3.189","3.996","3.829","3.839","3.830","3.882","3.674","3.674","4.202","4.400","4.050","3.241","4.050","4.050","6.000","6.000","6.000","5.979","5.400","5.958","8.176","8.176","6.224","6.257","5.961","7.451","6.949","6.949","7.442","7.471","7.487","7.985","7.486","7.486","7.786"
"David Canabarro","4306304","-28.384899999990","-51.848199999990","1.500","1.331","1.358","1.860","900","200","2.016","1.254","1.096","1.500","2.300","1.918","1.100","900","150","1.600","3.500","-","3.200","1.800","1.800","1.800","1.000","300","1.800","1.300","1.300","1.571","1.571","2.143","2.143","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Derrubadas","4306320","-27.264199999990","-53.864500000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.600","1.600","1.600","1.412","1.286","1.280","1.280","1.280","1.200","1.200","1.200","1.200","1.200","2.000","2.000","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Dezesseis de Novembro","4306353","-28.219000000000","-55.061700000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","5.765","4.714","3.314","5.250","4.417","4.417","4.417","5.000","4.417","4.417","4.500","4.611","1.600","1.600","1.600","1.600","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Dilermando de Aguiar","4306379","-29.705400000000","-54.212200000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","5.000","4.500","5.750","5.750","5.750","5.200","3.378","5.156","4.643","6.255","6.270","6.700","6.700","5.360","6.700","6.700","6.800","6.000","6.500","8.000","8.000","8.000","6.300","7.800","8.000"
"Dois Irm�os","4306403","-29.583600000000","-51.089799999990","1.500","1.500","1.556","1.500","1.200","800","1.500","1.200","963","1.050","1.049","1.149","700","1.000","975","1.200","1.200","700","1.200","1.000","1.000","1.000","600","1.000","800","1.200","1.000","1.000","1.000","1.500","1.000","-","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000","-","-","-"
"Dois Irm�os das Miss�es","4306429","-27.662099999990","-53.530400000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.182","2.276","2.182","1.400","1.615","3.000","2.182","2.182","2.182","2.182","2.182","2.182","1.727","2.091","2.091","2.091","2.091","2.000","-","-","-","-","-","-","-","-","-","-","-"
"Dois Lajeados","4306452","-28.983000000000","-51.839599999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.000","2.000","-","2.400","2.400","800","2.000","2.000","1.500","1.500","1.500","1.500","1.500","1.520","1.520","440","520","1.467","1.533","1.600","-","-","-","-","-","-","-","-","4.000","-","-","-","-"
"Dom Feliciano","4306502","-30.700399999990","-52.102600000000","3.215","2.714","3.000","3.500","3.167","2.081","2.392","3.015","2.897","1.870","2.897","3.015","2.625","3.625","3.505","2.778","3.545","3.971","3.558","4.026","4.026","4.026","2.300","3.857","3.615","4.533","4.750","4.750","4.767","4.767","5.500","5.000","5.000","5.000","5.000","5.753","5.760","5.491","5.491","5.491","5.491","5.491","5.491","5.343","5.343","5.267","4.900","5.267"
"Dom Pedrito","4306601","-30.975600000000","-54.669400000000","4.335","4.949","4.431","3.500","4.589","3.340","4.000","4.500","4.688","3.272","4.500","5.000","4.000","4.400","5.000","5.200","5.200","4.800","6.650","5.100","4.161","5.700","5.600","5.714","4.700","7.104","6.024","6.908","6.540","5.369","7.100","6.961","7.650","7.400","7.450","8.190","7.330","8.701","8.490","8.100","7.749","8.857","7.399","8.780","8.281","7.323","8.915","8.300"
"Dom Pedro de Alc�ntara","4306551","-29.363900000000","-49.853000000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4.500","4.333","4.333","4.458","4.015","4.972","4.972","5.806","5.460","5.503","5.102","5.702","5.702","5.698","6.000","7.398","6.650","6.640","6.260","6.260","7.000","6.463","6.460","6.460","6.460"
"Dona Francisca","4306700","-29.619499999990","-53.361699999990","3.566","3.499","3.511","4.000","4.000","3.648","3.800","5.607","6.000","3.749","6.000","6.500","7.500","6.500","6.500","6.500","5.850","6.500","6.500","7.000","6.500","6.500","6.900","6.500","5.150","7.515","7.100","6.570","7.300","5.950","7.400","7.900","7.600","7.650","8.100","8.450","5.800","9.050","9.530","9.050","8.600","8.100","7.300","9.250","9.250","8.300","9.150","9.125"
"Doutor Maur�cio Cardoso","4306734","-27.510300000000","-54.357799999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3.000","3.538","3.231","4.053","4.343","4.343","4.480","3.250","3.720","3.720","3.720","3.720","3.720","3.720","3.720","2.600","1.000","1.200","1.000","1.000","1.000","1.000","1.000","3.000","3.000","3.000","3.000","3.000","3.000","3.000","3.000","-","-"
"Doutor Ricardo","4306759","-29.084000000000","-51.997100000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.600","1.600","1.600","1.400","1.800","1.800","1.800","1.800","1.000","800","1.600","1.600","1.667","1.667","1.500","1.000","2.000","2.000","2.000","-","-","-","-","-","-"
"Eldorado do Sul","4306767","-30.084700000000","-51.618699999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4.980","4.795","4.995","4.993","4.495","4.995","4.995","6.928","4.400","4.600","5.170","5.000","4.700","5.000","4.610","6.000","6.252","6.200","6.600","6.538","6.942","6.545","6.990","7.171","7.003","7.000","6.800","6.912","7.231","5.232","7.218","7.682","7.852"
"Encantado","4306809","-29.235099999990","-51.870300000000","1.500","600","1.579","1.400","1.400","-","2.000","951","549","1.000","1.254","1.300","900","1.800","1.400","1.752","2.000","200","2.000","2.037","2.037","2.000","2.000","2.000","2.000","-","-","-","-","-","-","-","500","500","500","500","500","1.000","500","1.000","1.000","-","-","-","-","-","-","-"
"Encruzilhada do Sul","4306908","-30.542999999990","-52.520400000000","3.463","3.643","3.364","3.200","3.030","3.372","3.818","3.971","3.647","3.385","4.295","4.206","3.417","4.929","3.943","4.764","4.143","4.273","4.179","4.321","3.982","4.200","4.800","4.500","4.500","4.983","4.992","4.793","4.728","2.514","4.374","5.000","4.905","4.905","5.857","7.460","6.467","7.500","7.500","7.500","6.500","6.000","6.660","7.000","5.600","7.000","7.000","7.760"
"Engenho Velho","4306924","-27.706000000000","-52.914499999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.500","1.500","1.500","1.000","1.500","1.500","1.600","1.600","1.600","1.800","1.800","1.800","400","1.800","1.800","1.800","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Entre Rios do Sul","4306957","-27.529800000000","-52.734699999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.500","1.500","-","1.500","1.500","1.500","1.500","1.097","1.097","2.400","2.387","2.387","2.387","600","1.800","400","-","2.333","2.333","2.333","2.333","2.000","2.000","-","-","-","-","-","-","-","-","-","-"
"Entre-iju�s","4306932","-28.368600000000","-54.268599999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.619","2.167","4.500","2.227","2.091","2.091","1.636","1.500","1.333","1.333","1.667","1.850","2.250","2.600","2.750","583","-","3.000","3.000","3.000","3.000","3.000","3.000","-","-","-","-","-","-","-","-","-","-"
"Erebango","4306973","-27.854399999990","-52.300500000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.077","2.077","3.000","2.077","2.182","2.182","2.182","1.500","1.714","1.714","1.850","1.900","1.900","1.900","1.900","2.300","3.000","3.300","3.300","3.300","3.300","3.300","6.500","6.500","6.500","6.600","5.667","5.000","4.000","5.250","4.000","4.000","3.500"
"Erechim","4307005","-27.636399999990","-52.269700000000","1.200","2.500","2.909","2.800","600","500","2.000","1.400","620","1.400","1.200","1.000","980","740","1.261","1.940","1.988","1.800","2.029","1.964","1.964","1.964","1.667","1.500","1.500","800","1.500","2.000","1.000","2.333","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ernestina","4307054","-28.497699999990","-52.583599999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3.000","1.802","750","2.000","2.000","2.000","2.000","926","1.533","1.533","1.200","1.200","1.500","1.423","1.500","1.800","-","1.667","1.500","1.500","2.000","2.000","2.000","-","-","-","-","-","-","-","-","-","-"
"Erval Grande","4307203","-27.392600000000","-52.573999999990","1.200","2.400","2.400","2.400","300","-","2.000","1.300","860","1.200","1.200","897","841","900","1.169","1.500","1.500","398","1.500","1.500","1.500","1.800","1.500","1.500","1.500","800","1.500","1.533","600","3.000","1.500","-","1.300","1.286","1.286","400","2.000","1.500","500","1.500","1.500","1.500","1.000","1.500","1.500","1.500","1.500","1.000"
"Erval Seco","4307302","-27.544300000000","-53.500500000000","1.000","2.333","2.000","2.000","-","-","2.000","1.200","600","570","901","900","1.000","1.600","649","2.087","1.849","171","1.839","2.029","2.029","2.029","1.000","2.503","2.029","2.029","2.029","2.029","2.029","2.040","1.656","1.832","2.154","2.154","2.154","2.154","2.364","-","-","-","-","-","-","-","-","-","-","-"
"Esmeralda","4307401","-28.051800000000","-51.193300000000","1.200","2.000","2.000","2.000","867","2.000","2.000","1.056","1.500","1.500","1.500","1.500","1.500","1.300","1.250","1.300","1.500","350","1.500","1.500","1.500","1.511","1.197","2.000","2.000","2.000","2.000","1.900","1.900","1.875","1.833","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Esperan�a do Sul","4307450","-27.360299999990","-53.989100000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.429","1.429","700","700","700","700","700","700","-","2.000","2.000","-","6.000","6.000","-","6.000","-","-","-","-","-","-","-","-","-"
"Espumoso","4307500","-28.728600000000","-52.846100000000","1.000","2.143","1.667","2.500","1.500","750","1.500","1.011","600","1.122","2.444","1.000","589","1.661","600","1.500","1.500","400","3.286","3.143","2.457","2.975","935","1.636","3.091","2.760","2.217","2.300","1.824","1.824","1.529","412","2.000","2.000","2.000","2.000","2.000","2.000","-","-","-","-","-","-","-","-","-","-"
"Esta��o","4307559","-27.913499999990","-52.263500000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.750","1.500","-","1.500","1.500","1.500","1.800","1.000","800","800","800","800","800","800","800","1.000","-","1.000","1.000","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Est�ncia Velha","4307609","-29.653500000000","-51.184300000000","-","-","-","-","-","-","-","1.333","1.000","1.000","1.250","1.250","1.000","-","1.000","1.000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Esteio","4307708","-29.852000000000","-51.184100000000","3.000","3.448","4.399","5.000","4.000","1.639","4.000","3.500","3.600","3.700","4.823","3.100","4.254","4.769","7.902","7.052","4.250","6.103","5.645","5.091","4.808","4.808","3.433","4.000","4.096","4.096","4.100","4.100","4.100","4.100","4.100","4.200","4.200","4.200","6.000","6.000","6.903","6.000","8.000","7.000","7.000","7.000","7.000","7.000","7.000","7.000","7.000","7.000"
"Estrela","4307807","-29.501600000000","-51.960500000000","1.400","1.400","2.111","1.400","1.400","1.000","1.493","1.219","393","1.100","1.955","2.657","897","1.224","1.172","1.000","977","977","1.000","1.000","1.000","1.773","-","2.133","3.833","3.833","1.000","1.000","1.000","1.000","1.000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Estrela Velha","4307815","-29.171299999990","-53.163899999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","800","2.200","1.133","1.533","2.000","2.000","2.000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Eug�nio de Castro","4307831","-28.531500000000","-54.150599999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.500","2.000","-","2.400","1.900","1.890","1.903","1.500","1.503","1.497","900","750","1.800","1.800","1.800","2.083","-","1.000","1.000","1.000","1.000","-","-","-","-","-","-","-","-","-","-","-","-"
"Fagundes Varela","4307864","-28.879400000000","-51.701400000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","800","2.000","292","2.000","2.000","2.000","2.000","1.300","1.400","1.200","1.200","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Farroupilha","4307906","-29.222700000000","-51.341900000000","1.200","1.759","1.594","1.200","1.200","1.200","1.200","1.202","953","900","1.800","1.800","1.200","1.800","1.600","1.800","1.800","1.800","1.800","1.800","1.800","1.800","1.333","833","800","900","900","900","900","1.000","1.000","600","1.000","1.000","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Faxinal do Soturno","4308003","-29.578800000000","-53.448399999990","3.569","3.733","3.619","4.000","4.000","4.056","3.700","4.356","5.751","3.689","5.000","5.750","4.750","5.500","6.000","6.500","6.000","4.950","6.000","6.200","5.100","6.000","6.000","5.487","5.485","6.479","6.471","5.975","5.967","5.983","6.480","7.470","6.481","6.997","6.897","6.995","5.250","7.750","5.225","7.500","6.500","6.000","7.500","8.000","7.500","6.500","7.500","8.500"
"Faxinalzinho","4308052","-27.423800000000","-52.678899999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.500","1.500","750","1.508","1.516","1.500","2.000","1.200","1.800","1.800","1.800","1.800","1.800","1.000","3.000","1.200","-","2.000","2.000","1.500","500","1.800","1.667","1.000","-","-","-","-","-","-","-","-","-"
"Fazenda Vilanova","4308078","-29.588500000000","-51.821700000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4.000","3.000","-","-","-","-","-","-","-","-","-","-","-","-"
"Feliz","4308102","-29.452700000000","-51.303199999990","2.500","1.200","2.400","2.400","1.500","800","2.000","1.502","502","1.500","2.000","2.000","850","1.500","1.200","1.200","1.050","1.500","1.500","1.500","1.500","2.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000","1.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000","-","-","-","-","-","-","-","-","-"
"Flores da Cunha","4308201","-29.026199999990","-51.187500000000","1.200","1.500","1.615","1.200","1.200","1.200","1.200","1.200","1.100","1.000","1.500","2.000","2.000","1.500","2.000","2.500","2.000","1.394","1.800","1.857","1.857","1.857","500","1.400","1.400","1.600","1.600","1.600","1.500","1.500","1.500","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Floriano Peixoto","4308250","-27.861400000000","-52.083799999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.500","1.500","1.500","1.500","1.500","1.500","1.500","1.600","-","1.600","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Fontoura Xavier","4308300","-28.981600000000","-52.344499999990","1.800","1.500","1.900","2.941","1.500","500","1.000","1.201","470","1.000","1.500","1.800","600","600","600","2.100","2.100","600","900","900","900","900","794","1.300","1.500","1.500","1.800","2.000","1.800","2.125","1.875","250","1.250","2.000","2.000","2.000","2.000","2.000","-","-","-","-","-","-","-","-","-","-"
"Formigueiro","4308409","-30.003499999990","-53.495899999990","3.002","3.331","3.227","3.800","5.000","2.712","3.700","4.407","4.500","4.552","6.000","5.000","3.500","5.000","4.500","5.000","5.000","5.000","4.091","5.000","3.750","5.500","5.000","4.500","3.750","5.250","5.000","5.000","5.500","3.998","5.489","3.848","6.397","6.790","6.499","6.999","5.200","6.800","6.958","7.039","6.300","6.920","5.902","7.108","7.400","7.230","7.900","7.500"
"Forquetinha","4308433","-29.379200000000","-52.091700000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.000","1.000","1.000","1.000","500","1.000","1.000","1.000","1.000","1.000","1.000","-","-","-","-","-","-","-","-","-","-"
"Fortaleza dos Valos","4308458","-28.798600000000","-53.224899999990","-","-","-","-","-","-","-","-","-","900","1.200","1.013","1.750","1.286","1.029","1.709","1.456","532","3.407","3.407","3.407","3.407","2.010","1.800","1.800","1.800","1.800","2.111","2.133","2.167","1.333","-","1.667","2.000","2.000","2.000","2.000","2.000","-","-","-","-","-","-","-","-","-","-"
"Frederico Westphalen","4308508","-27.358599999990","-53.395800000000","1.000","2.353","2.000","1.300","-","-","2.000","1.201","600","800","1.000","1.000","800","1.400","649","1.299","1.300","-","1.800","3.000","3.000","3.000","1.363","4.000","4.000","4.000","4.000","4.000","4.000","4.000","4.000","4.000","4.000","4.000","4.000","1.600","1.600","4.000","4.000","4.000","3.500","2.500","2.500","4.000","3.833","3.800","3.800","3.800"
"Garibaldi","4308607","-29.259000000000","-51.535200000000","1.294","1.200","1.667","1.200","400","300","1.200","1.200","400","1.300","2.000","595","1.000","1.300","1.107","1.107","1.403","150","1.400","1.000","1.000","1.000","1.063","500","500","500","-","-","1.000","1.000","1.000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Garruchos","4308656","-28.194400000000","-55.638300000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","5.000","3.000","3.000","3.350","5.300","4.000","4.800","4.500","4.500","4.500","4.100","5.820","6.171","5.900","6.754","6.626","7.299","6.699","7.800","7.750","7.250","8.000","6.640","7.650","8.000","7.800","7.102","7.200","8.000"
"Gaurama","4308706","-27.585599999990","-52.091500000000","1.200","2.248","1.900","2.000","330","200","2.000","706","571","1.200","1.500","1.250","950","600","1.226","1.800","1.500","-","1.500","1.500","1.500","1.500","2.097","2.000","1.600","1.300","2.000","2.000","900","2.700","1.500","-","1.800","2.000","1.800","900","2.400","2.400","1.000","1.200","1.800","1.800","1.667","-","-","-","-","-"
"General C�mara","4308805","-29.903199999990","-51.761200000000","3.300","2.736","2.844","3.030","3.000","2.564","3.000","4.000","3.800","3.458","4.200","4.300","4.300","3.750","4.400","4.100","4.000","3.280","3.000","4.500","4.750","4.750","4.750","4.300","4.300","4.600","4.600","4.840","4.840","4.728","5.500","4.800","5.200","6.500","6.055","6.055","5.140","6.200","6.630","6.900","6.200","6.700","6.302","7.370","7.000","7.144","6.100","6.800"
"Gentil","4308854","-28.431600000000","-52.033700000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.333","2.333","2.389","1.235","1.333","1.500","1.278","1.278","2.000","2.000","2.000","611","-","1.500","1.800","1.800","1.800","1.800","1.800","-","-","-","-","-","-","-","-","-","-"
"Get�lio Vargas","4308904","-27.891100000000","-52.229399999990","1.500","2.057","3.142","1.400","900","3.000","2.441","2.152","860","2.333","2.316","2.380","600","809","1.154","1.951","1.929","3.000","1.636","1.636","1.636","1.636","1.636","1.500","1.500","1.500","1.500","1.500","1.500","1.500","1.600","-","1.333","1.333","1.667","1.333","-","-","-","-","-","-","-","-","-","-","-","-"
